w_judge,e_judge,w_rank,w_name,ruler,e_rank,e_name,year,month,day
0,1,O2e,Dejima,hatakikomi,M5e,Tosanoumi,2001,01,4
1,0,S1e,Wakanosato,yorikiri,M1e,Takanonami,2001,01,4
1,0,M2e,Kotonowaka,oshidashi,M1w,Tochisakae,2001,01,4
1,0,M6w,Chiyotenzan,oshidashi,M3w,Kaiho,2001,01,4
1,0,M3e,Wakanoyama,oshitaoshi,M6e,Tochinohana,2001,01,4
0,1,M9w,Tokitsuumi,uwatenage,M7w,Kotoryu,2001,01,4
1,0,M7e,Higonoumi,kotenage,M8e,Kyokutenho,2001,01,4
0,1,M9e,Hamanoshima,yoritaoshi,M11w,Minatofuji,2001,01,4
1,0,M10e,Kyokushuzan,hatakikomi,M13w,Tamarikido,2001,01,4
1,0,M11e,Kinkaiyama,kakenage,M12w,Asashoryu,2001,01,4
0,1,M12e,Takatoriki,oshidashi,M14w,Wakakosho,2001,01,4
0,1,M13e,Daishi,makiotoshi,M14e,Asanowaka,2001,01,4
0,1,J4w,Kobo,oshidashi,J1w,Daizen,2001,01,4
1,0,J1e,Tamanonada,kotenage,J3e,Jumonji,2001,01,4
1,0,J3w,Otsukasa,okuridashi,J2w,Terao,2001,01,4
0,1,J4e,Juzan,yorikiri,J6w,Kuniazuma,2001,01,4
0,1,J5e,Yotsukasa,hatakikomi,J7w,Toyozakura,2001,01,4
1,0,J6e,Aminishiki,kotenage,J8e,Komahikari,2001,01,4
0,1,J7e,Oikari,oshidashi,J10w,Aogiyama,2001,01,4
0,1,J12w,Tamanokuni,oshitaoshi,J8w,Wakatsutomu,2001,01,4
1,0,J9e,Tomonohana,hatakikomi,J13e,Komidori,2001,01,4
1,0,J10e,Hamanishiki,yoritaoshi,J11w,Kotokanyu,2001,01,4
0,1,J11e,Tomikaze,oshitaoshi,J13w,Kitazakura,2001,01,4
0,1,J12e,Wakatoryu,oshitaoshi,Ms2w,Buyuzan,2001,01,4
0,1,M5w,Tamakasuga,tsukidashi,Y1w,Musashimaru,2001,01,5
1,0,Y2e,Takanohana,okuridashi,M4w,Tochiazuma,2001,01,5
0,1,M4e,Akinoshima,oshidashi,O3w,Musoyama,2001,01,5
1,0,O1e,Kaio,oshidashi,K1e,Takanowaka,2001,01,5
1,0,O2e,Dejima,oshidashi,M3w,Kaiho,2001,01,5
1,0,M5e,Tosanoumi,hatakikomi,O2w,Miyabiyama,2001,01,5
1,0,S1e,Wakanosato,tsukidashi,M1w,Tochisakae,2001,01,5
1,0,K1w,Tochinonada,yorikiri,S1w,Kotomitsuki,2001,01,5
0,1,M1e,Takanonami,oshidashi,M3e,Wakanoyama,2001,01,5
1,0,M2e,Kotonowaka,katasukashi,M6e,Tochinohana,2001,01,5
1,0,M9e,Hamanoshima,yorikiri,M6w,Chiyotenzan,2001,01,5
0,1,M7e,Higonoumi,yorikiri,M9w,Tokitsuumi,2001,01,5
0,1,M10e,Kyokushuzan,yorikiri,M7w,Kotoryu,2001,01,5
1,0,M8e,Kyokutenho,yorikiri,M11e,Kinkaiyama,2001,01,5
1,0,M14e,Asanowaka,hatakikomi,M11w,Minatofuji,2001,01,5
0,1,M12e,Takatoriki,oshidashi,M12w,Asashoryu,2001,01,5
0,1,M13e,Daishi,oshidashi,M13w,Tamarikido,2001,01,5
0,1,J2w,Terao,oshidashi,M14w,Wakakosho,2001,01,5
1,0,J1e,Tamanonada,yorikiri,J4w,Kobo,2001,01,5
1,0,J3e,Jumonji,yorikiri,J1w,Daizen,2001,01,5
0,1,J6e,Aminishiki,yorikiri,J3w,Otsukasa,2001,01,5
0,1,J4e,Juzan,oshidashi,J7e,Oikari,2001,01,5
0,1,J5e,Yotsukasa,hatakikomi,J6w,Kuniazuma,2001,01,5
0,1,J10w,Aogiyama,uwatedashinage,J7w,Toyozakura,2001,01,5
0,1,J8e,Komahikari,uwatenage,J10e,Hamanishiki,2001,01,5
1,0,J13w,Kitazakura,tsukitaoshi,J8w,Wakatsutomu,2001,01,5
1,0,J9e,Tomonohana,yorikiri,J11e,Tomikaze,2001,01,5
1,0,J12w,Tamanokuni,kotenage,J11w,Kotokanyu,2001,01,5
0,1,J12e,Wakatoryu,hikkake,J13e,Komidori,2001,01,5
1,0,Y2e,Takanohana,yorikiri,M5e,Tosanoumi,2001,01,6
0,1,M1w,Tochisakae,tsukidashi,Y1w,Musashimaru,2001,01,6
1,0,O1e,Kaio,sukuinage,M1e,Takanonami,2001,01,6
1,0,O2e,Dejima,yorikiri,M2e,Kotonowaka,2001,01,6
0,1,M3w,Kaiho,oshitaoshi,O2w,Miyabiyama,2001,01,6
1,0,M4w,Tochiazuma,oshidashi,O3w,Musoyama,2001,01,6
1,0,K1e,Takanowaka,yorikiri,S1w,Kotomitsuki,2001,01,6
0,1,S1e,Wakanosato,yorikiri,K1w,Tochinonada,2001,01,6
1,0,M3e,Wakanoyama,oshidashi,M4e,Akinoshima,2001,01,6
1,0,M8e,Kyokutenho,hatakikomi,M5w,Tamakasuga,2001,01,6
0,1,M9w,Tokitsuumi,yorikiri,M6w,Chiyotenzan,2001,01,6
1,0,M6e,Tochinohana,yorikiri,M9e,Hamanoshima,2001,01,6
0,1,M12w,Asashoryu,yorikiri,M7w,Kotoryu,2001,01,6
1,0,M7e,Higonoumi,tsukiotoshi,M11e,Kinkaiyama,2001,01,6
1,0,M10e,Kyokushuzan,okuridashi,M11w,Minatofuji,2001,01,6
1,0,M12e,Takatoriki,oshidashi,M13e,Daishi,2001,01,6
0,1,J3e,Jumonji,yorikiri,M13w,Tamarikido,2001,01,6
1,0,J3w,Otsukasa,oshidashi,M14w,Wakakosho,2001,01,6
1,0,M14e,Asanowaka,oshidashi,J2w,Terao,2001,01,6
1,0,J5e,Yotsukasa,oshidashi,J1w,Daizen,2001,01,6
1,0,J1e,Tamanonada,yorikiri,J7w,Toyozakura,2001,01,6
0,1,J7e,Oikari,hikiotoshi,J4w,Kobo,2001,01,6
0,1,J4e,Juzan,uwatenage,J11w,Kotokanyu,2001,01,6
1,0,J10e,Hamanishiki,yorikiri,J6w,Kuniazuma,2001,01,6
0,1,J6e,Aminishiki,tsukitaoshi,J13w,Kitazakura,2001,01,6
0,1,J13e,Komidori,kotenage,J8w,Wakatsutomu,2001,01,6
0,1,J8e,Komahikari,sotogake,J9e,Tomonohana,2001,01,6
1,0,J12e,Wakatoryu,oshidashi,J10w,Aogiyama,2001,01,6
0,1,J11e,Tomikaze,yorikiri,Ms3e,Sekiyama,2001,01,6
0,1,Ms3w,Hokutoriki,hatakikomi,J12w,Tamanokuni,2001,01,6
0,1,K1w,Tochinonada,yorikiri,Y1w,Musashimaru,2001,01,7
1,0,Y2e,Takanohana,yorikiri,M1w,Tochisakae,2001,01,7
1,0,O2e,Dejima,yorikiri,K1e,Takanowaka,2001,01,7
1,0,M1e,Takanonami,yorikiri,O2w,Miyabiyama,2001,01,7
0,1,M5e,Tosanoumi,oshidashi,O3w,Musoyama,2001,01,7
1,0,O1e,Kaio,yorikiri,M2e,Kotonowaka,2001,01,7
1,0,S1e,Wakanosato,kotenage,S1w,Kotomitsuki,2001,01,7
0,1,M3e,Wakanoyama,hatakikomi,M5w,Tamakasuga,2001,01,7
1,0,M4e,Akinoshima,yorikiri,M3w,Kaiho,2001,01,7
0,1,M7e,Higonoumi,yorikiri,M4w,Tochiazuma,2001,01,7
0,1,M6e,Tochinohana,hatakikomi,M10e,Kyokushuzan,2001,01,7
1,0,M7w,Kotoryu,uwatenage,M6w,Chiyotenzan,2001,01,7
0,1,M8e,Kyokutenho,tsukidashi,M12w,Asashoryu,2001,01,7
0,1,M9e,Hamanoshima,hatakikomi,M12e,Takatoriki,2001,01,7
1,0,M14e,Asanowaka,hatakikomi,M9w,Tokitsuumi,2001,01,7
1,0,M11e,Kinkaiyama,yorikiri,M14w,Wakakosho,2001,01,7
1,0,M13w,Tamarikido,uwatenage,M11w,Minatofuji,2001,01,7
0,1,M13e,Daishi,hatakikomi,J4w,Kobo,2001,01,7
0,1,J1e,Tamanonada,yorikiri,J2w,Terao,2001,01,7
1,0,J4e,Juzan,tsukiotoshi,J1w,Daizen,2001,01,7
1,0,J3e,Jumonji,yorikiri,J6w,Kuniazuma,2001,01,7
0,1,J7w,Toyozakura,oshidashi,J3w,Otsukasa,2001,01,7
0,1,J5e,Yotsukasa,tsukiotoshi,J8e,Komahikari,2001,01,7
1,0,J6e,Aminishiki,okuridashi,J10e,Hamanishiki,2001,01,7
0,1,J7e,Oikari,yorikiri,J11w,Kotokanyu,2001,01,7
0,1,J10w,Aogiyama,hikiotoshi,J8w,Wakatsutomu,2001,01,7
0,1,J9e,Tomonohana,hatakikomi,J13w,Kitazakura,2001,01,7
1,0,J11e,Tomikaze,yoritaoshi,J13e,Komidori,2001,01,7
1,0,J12e,Wakatoryu,oshitaoshi,J12w,Tamanokuni,2001,01,7
1,0,Y2e,Takanohana,yorikiri,S1e,Wakanosato,2001,01,8
0,1,M4e,Akinoshima,yorikiri,Y1w,Musashimaru,2001,01,8
0,1,K1e,Takanowaka,oshidashi,O2w,Miyabiyama,2001,01,8
0,1,K1w,Tochinonada,tsukitaoshi,O3w,Musoyama,2001,01,8
1,0,O1e,Kaio,yorikiri,M3e,Wakanoyama,2001,01,8
0,1,O2e,Dejima,okuridashi,M4w,Tochiazuma,2001,01,8
1,0,M3w,Kaiho,hatakikomi,S1w,Kotomitsuki,2001,01,8
1,0,M1e,Takanonami,yorikiri,M1w,Tochisakae,2001,01,8
1,0,M2e,Kotonowaka,yorikiri,M5w,Tamakasuga,2001,01,8
1,0,M5e,Tosanoumi,watashikomi,M7e,Higonoumi,2001,01,8
0,1,M10e,Kyokushuzan,sotogake,M6w,Chiyotenzan,2001,01,8
1,0,M6e,Tochinohana,yorikiri,M11e,Kinkaiyama,2001,01,8
1,0,M8e,Kyokutenho,yorikiri,M7w,Kotoryu,2001,01,8
1,0,M9e,Hamanoshima,sukuinage,M9w,Tokitsuumi,2001,01,8
1,0,M12e,Takatoriki,hatakikomi,M11w,Minatofuji,2001,01,8
1,0,M14w,Wakakosho,yorikiri,M12w,Asashoryu,2001,01,8
1,0,J3w,Otsukasa,yorikiri,M13w,Tamarikido,2001,01,8
1,0,M13e,Daishi,okuridashi,J1w,Daizen,2001,01,8
0,1,M14e,Asanowaka,yorikiri,J1e,Tamanonada,2001,01,8
0,1,J3e,Jumonji,hikiotoshi,J2w,Terao,2001,01,8
0,1,J5e,Yotsukasa,yorikiri,J4w,Kobo,2001,01,8
0,1,J4e,Juzan,yorikiri,J8e,Komahikari,2001,01,8
0,1,J13w,Kitazakura,hikiotoshi,J6w,Kuniazuma,2001,01,8
0,1,J6e,Aminishiki,oshidashi,J10w,Aogiyama,2001,01,8
1,0,J12w,Tamanokuni,hatakikomi,J7w,Toyozakura,2001,01,8
1,0,J7e,Oikari,oshidashi,J11e,Tomikaze,2001,01,8
0,1,J10e,Hamanishiki,hatakikomi,J8w,Wakatsutomu,2001,01,8
1,0,J9e,Tomonohana,hatakikomi,J12e,Wakatoryu,2001,01,8
0,1,Ms4e,Yamada,oshidashi,J11w,Kotokanyu,2001,01,8
0,1,J13e,Komidori,hikiotoshi,Ms4w,Masutsuyoshi,2001,01,8
0,1,M2e,Kotonowaka,oshidashi,Y1w,Musashimaru,2001,01,9
1,0,Y2e,Takanohana,yorikiri,M5w,Tamakasuga,2001,01,9
0,1,M1e,Takanonami,oshidashi,O3w,Musoyama,2001,01,9
1,0,O1e,Kaio,oshidashi,M4w,Tochiazuma,2001,01,9
0,1,O2e,Dejima,yorikiri,S1w,Kotomitsuki,2001,01,9
0,1,M7w,Kotoryu,oshidashi,O2w,Miyabiyama,2001,01,9
1,0,S1e,Wakanosato,sukuinage,M4e,Akinoshima,2001,01,9
0,1,K1e,Takanowaka,yorikiri,K1w,Tochinonada,2001,01,9
0,1,M3w,Kaiho,oshidashi,M1w,Tochisakae,2001,01,9
1,0,M3e,Wakanoyama,oshidashi,M5e,Tosanoumi,2001,01,9
0,1,M6e,Tochinohana,yorikiri,M11w,Minatofuji,2001,01,9
1,0,M11e,Kinkaiyama,uwatenage,M6w,Chiyotenzan,2001,01,9
0,1,M7e,Higonoumi,okuridashi,M12e,Takatoriki,2001,01,9
1,0,M8e,Kyokutenho,hikiotoshi,M14e,Asanowaka,2001,01,9
0,1,M9e,Hamanoshima,okuritsuriotoshi,M10e,Kyokushuzan,2001,01,9
1,0,M12w,Asashoryu,yorikiri,M9w,Tokitsuumi,2001,01,9
0,1,M13e,Daishi,hatakikomi,J2w,Terao,2001,01,9
0,1,J1w,Daizen,hatakikomi,M13w,Tamarikido,2001,01,9
0,1,J3e,Jumonji,yorikiri,M14w,Wakakosho,2001,01,9
1,0,J1e,Tamanonada,hatakikomi,J6e,Aminishiki,2001,01,9
0,1,J13w,Kitazakura,sukuinage,J3w,Otsukasa,2001,01,9
0,1,J4e,Juzan,yoritaoshi,J10w,Aogiyama,2001,01,9
1,0,J8e,Komahikari,oshidashi,J4w,Kobo,2001,01,9
1,0,J5e,Yotsukasa,oshidashi,J8w,Wakatsutomu,2001,01,9
1,0,J9e,Tomonohana,uchigake,J6w,Kuniazuma,2001,01,9
0,1,J7e,Oikari,oshidashi,J12e,Wakatoryu,2001,01,9
1,0,J11w,Kotokanyu,hatakikomi,J7w,Toyozakura,2001,01,9
1,0,J10e,Hamanishiki,uwatedashinage,J12w,Tamanokuni,2001,01,9
0,1,J11e,Tomikaze,hatakikomi,Ms5e,Gojoro,2001,01,9
0,1,J13e,Komidori,tsukitaoshi,Ms5w,Otoryu,2001,01,9
1,0,Y2e,Takanohana,yorikiri,M2e,Kotonowaka,2001,01,10
0,1,M5e,Tosanoumi,hatakikomi,Y1w,Musashimaru,2001,01,10
1,0,O1e,Kaio,oshidashi,O2w,Miyabiyama,2001,01,10
1,0,O2e,Dejima,yoritaoshi,M4e,Akinoshima,2001,01,10
0,1,S1w,Kotomitsuki,oshidashi,O3w,Musoyama,2001,01,10
0,1,S1e,Wakanosato,uwatedashinage,M4w,Tochiazuma,2001,01,10
1,0,M1e,Takanonami,uwatenage,K1w,Tochinonada,2001,01,10
0,1,K1e,Takanowaka,oshidashi,M1w,Tochisakae,2001,01,10
1,0,M5w,Tamakasuga,tsukiotoshi,M3w,Kaiho,2001,01,10
1,0,M3e,Wakanoyama,oshidashi,M6w,Chiyotenzan,2001,01,10
0,1,M6e,Tochinohana,makiotoshi,M7e,Higonoumi,2001,01,10
1,0,M14e,Asanowaka,tsukiotoshi,M7w,Kotoryu,2001,01,10
1,0,M8e,Kyokutenho,tsukiotoshi,M14w,Wakakosho,2001,01,10
0,1,M12e,Takatoriki,yorikiri,M9w,Tokitsuumi,2001,01,10
0,1,M9e,Hamanoshima,yorikiri,M12w,Asashoryu,2001,01,10
0,1,M10e,Kyokushuzan,oshidashi,M13e,Daishi,2001,01,10
1,0,J1e,Tamanonada,yorikiri,M11w,Minatofuji,2001,01,10
0,1,M11e,Kinkaiyama,yorikiri,M13w,Tamarikido,2001,01,10
1,0,J7e,Oikari,oshidashi,J1w,Daizen,2001,01,10
0,1,J6w,Kuniazuma,okuridashi,J2w,Terao,2001,01,10
0,1,J8w,Wakatsutomu,hikiotoshi,J3w,Otsukasa,2001,01,10
1,0,J3e,Jumonji,tottari,J9e,Tomonohana,2001,01,10
1,0,J10e,Hamanishiki,yorikiri,J4w,Kobo,2001,01,10
1,0,J4e,Juzan,oshidashi,J11e,Tomikaze,2001,01,10
0,1,J5e,Yotsukasa,hatakikomi,J10w,Aogiyama,2001,01,10
1,0,J6e,Aminishiki,uwatedashinage,J7w,Toyozakura,2001,01,10
0,1,J8e,Komahikari,oshidashi,J12e,Wakatoryu,2001,01,10
1,0,J13e,Komidori,watashikomi,J11w,Kotokanyu,2001,01,10
0,1,J13w,Kitazakura,yorikiri,J12w,Tamanokuni,2001,01,10
0,1,S1w,Kotomitsuki,kimedashi,Y1w,Musashimaru,2001,01,11
1,0,Y2e,Takanohana,yorikiri,O3w,Musoyama,2001,01,11
1,0,O2e,Dejima,hatakikomi,M5w,Tamakasuga,2001,01,11
1,0,M4w,Tochiazuma,oshidashi,O2w,Miyabiyama,2001,01,11
1,0,O1e,Kaio,okuridashi,M4e,Akinoshima,2001,01,11
1,0,S1e,Wakanosato,yorikiri,M2e,Kotonowaka,2001,01,11
1,0,K1e,Takanowaka,uwatenage,M1e,Takanonami,2001,01,11
1,0,M3e,Wakanoyama,oshidashi,K1w,Tochinonada,2001,01,11
1,0,M7e,Higonoumi,oshidashi,M1w,Tochisakae,2001,01,11
1,0,M5e,Tosanoumi,tsukiotoshi,M3w,Kaiho,2001,01,11
0,1,M6e,Tochinohana,sukuinage,M9w,Tokitsuumi,2001,01,11
0,1,M12w,Asashoryu,oshidashi,M6w,Chiyotenzan,2001,01,11
0,1,M12e,Takatoriki,yorikiri,M7w,Kotoryu,2001,01,11
0,1,M8e,Kyokutenho,utchari,M13w,Tamarikido,2001,01,11
0,1,M9e,Hamanoshima,oshidashi,M14e,Asanowaka,2001,01,11
1,0,M10e,Kyokushuzan,uwatenage,M14w,Wakakosho,2001,01,11
0,1,M11e,Kinkaiyama,yorikiri,J1e,Tamanonada,2001,01,11
0,1,J2w,Terao,hatakikomi,M11w,Minatofuji,2001,01,11
1,0,M13e,Daishi,tsukiotoshi,J3w,Otsukasa,2001,01,11
0,1,J6e,Aminishiki,yorikiri,J1w,Daizen,2001,01,11
0,1,J3e,Jumonji,sukuinage,J8e,Komahikari,2001,01,11
1,0,J4e,Juzan,oshidashi,J5e,Yotsukasa,2001,01,11
0,1,J7w,Toyozakura,hatakikomi,J4w,Kobo,2001,01,11
0,1,J10w,Aogiyama,oshidashi,J6w,Kuniazuma,2001,01,11
1,0,J7e,Oikari,oshitaoshi,J8w,Wakatsutomu,2001,01,11
0,1,J9e,Tomonohana,okuridashi,J12w,Tamanokuni,2001,01,11
0,1,J10e,Hamanishiki,sukuinage,J13w,Kitazakura,2001,01,11
0,1,J11e,Tomikaze,tsukiotoshi,J11w,Kotokanyu,2001,01,11
0,1,J12e,Wakatoryu,sokubiotoshi,Ms2e,Kasuganishiki,2001,01,11
0,1,J13e,Komidori,tsukiotoshi,Ms1e,Senshuyama,2001,01,11
1,0,Y2e,Takanohana,yorikiri,O2w,Miyabiyama,2001,01,12
0,1,M8e,Kyokutenho,yorikiri,Y1w,Musashimaru,2001,01,12
1,0,O1e,Kaio,hatakikomi,O3w,Musoyama,2001,01,12
0,1,O2e,Dejima,uwatenage,S1e,Wakanosato,2001,01,12
1,0,M1e,Takanonami,kotenage,S1w,Kotomitsuki,2001,01,12
0,1,M2e,Kotonowaka,yorikiri,K1w,Tochinonada,2001,01,12
0,1,K1e,Takanowaka,oshidashi,M3e,Wakanoyama,2001,01,12
1,0,M4e,Akinoshima,uwatedashinage,M1w,Tochisakae,2001,01,12
0,1,M6e,Tochinohana,yorikiri,M3w,Kaiho,2001,01,12
0,1,M7w,Kotoryu,hatakikomi,M4w,Tochiazuma,2001,01,12
0,1,M9w,Tokitsuumi,oshitaoshi,M5w,Tamakasuga,2001,01,12
0,1,M5e,Tosanoumi,hatakikomi,M12w,Asashoryu,2001,01,12
0,1,M12e,Takatoriki,oshidashi,M6w,Chiyotenzan,2001,01,12
1,0,M7e,Higonoumi,kubinage,M13w,Tamarikido,2001,01,12
1,0,M9e,Hamanoshima,yorikiri,M13e,Daishi,2001,01,12
1,0,M10e,Kyokushuzan,yorikiri,M11e,Kinkaiyama,2001,01,12
1,0,J3e,Jumonji,yorikiri,M11w,Minatofuji,2001,01,12
0,1,M14e,Asanowaka,oshidashi,M14w,Wakakosho,2001,01,12
0,1,J7w,Toyozakura,tsukiotoshi,J1w,Daizen,2001,01,12
0,1,J1e,Tamanonada,shitatenage,J10e,Hamanishiki,2001,01,12
1,0,J8w,Wakatsutomu,tsukite,J2w,Terao,2001,01,12
